annual_income,academic_percentage,ip_count,submission_hour,is_weekend,flag_count,duplicate_flag_count,high_severity_flag_count,medium_severity_flag_count,document_count,missing_document_count,verified_document_ratio,avg_tamper_score,max_tamper_score,document_issue_count,applicant_age,has_device_fingerprint,scholarship_title,scholarship_location,scholarship_degrees,scholarship_competitiveness,target_grade,income_cap,label
468776.36,71.94,0,19,0,1,1,0,0,4,0,0.8669,0.0008,0.0619,0,23,0,,,,0.1925,65.0,599950.0,genuine
73094.61,66.87,3,18,1,2,0,1,0,4,0,0.9682,0.0808,0.153,0,23,1,International Presidential Scholarships at North Central College,United States of America,Bachelor,0.2528,66.57,584285.0,genuine
518357.46,85.75,1,16,0,1,0,0,0,3,1,0.8166,0.0913,0.0979,1,24,1,International No-Essay Support Competition Scholarships 2022-2023,Pakistan,"Master, Bachelor, Course",0.3205,68.33,566670.0,genuine
165559.36,71.78,3,10,0,1,0,0,0,4,0,0.8067,0.0205,0.1195,0,23,1,"Eldred-Waverley Scholarship at Linacre College, Oxford",United Kingdom,,0.1925,65.0,599950.0,genuine
633159.77,73.24,4,1,0,7,2,2,1,4,0,0.3664,0.1126,0.1977,1,26,1,Hamilton College Scholarships for International Students,United States of America,Master,0.319,68.29,567060.0,fake
510048.41,49.61,2,8,1,3,0,1,2,4,0,0.4516,0.1601,0.3115,0,26,1,Tiffin University International Trustee Scholarships in USA,United States of America,Bachelor,0.243,66.32,586820.0,suspicious
588783.12,55.7,1,18,0,7,1,0,3,2,2,0.3259,0.2826,0.4751,3,20,1,Kingston University - International Scholarships,United States of America,"Bachelor, Master, Phd",0.429,71.15,538460.0,suspicious
177040.01,61.35,0,13,0,0,0,0,0,4,0,0.9369,0.1229,0.192,0,20,0,,,,0.1925,65.0,599950.0,genuine
670465.0,97.78,7,17,0,14,3,3,2,4,0,0.3064,0.2522,0.3748,3,23,0,International Foundation Year Scholarship at the University of Leeds in the UK,United Kingdom,Bachelor,0.2333,66.06,589355.0,fake
998445.44,57.44,2,19,1,9,3,1,2,1,3,0.3873,0.1067,0.2185,3,37,0,Adobe Research Women-in-Technology Scholarship,Pakistan,Bachelor,0.231,66.01,589940.0,fake
228697.7,72.78,1,8,1,4,1,1,2,3,1,0.7081,0.3236,0.4629,0,22,0,Lebanon Bursaries at University of Warwick,United Kingdom,Master,0.3209,68.34,566572.5,suspicious
159126.56,66.85,0,13,0,1,0,0,1,3,1,0.8448,0.0138,0.0669,0,21,1,Hayek Fund for Scholars - Institute for Humane Studies at George Mason University,Europe,Phd,0.429,71.15,538460.0,genuine
431160.13,60.25,1,17,1,0,0,0,0,3,1,0.8181,0.0248,0.1459,0,20,0,Study Abroad at SOAS,United Kingdom,Not Funded,0.165,64.29,607100.0,genuine
244643.07,74.32,0,22,1,2,0,0,1,4,0,0.8374,0.0816,0.148,1,16,1,Computer Science Scholarships for International Students in UK,United Kingdom,Master,0.322,68.37,566280.0,genuine
542215.69,71.38,0,16,0,3,0,1,0,4,0,0.8131,0.0617,0.0906,2,22,0,,,,0.1925,65.0,599950.0,genuine
387076.52,69.84,3,16,1,7,1,1,1,3,1,0.6467,0.2904,0.3078,3,24,1,KDS International Scholarship Competition 2021-22,Canada,"Master, Bachelor, Course",0.3201,68.32,566767.5,genuine
626604.08,82.58,1,6,1,2,0,0,2,3,1,0.5614,0.1364,0.2238,0,33,0,UBC International Talent Scholarships in Canada,Canada,Master,0.3415,68.88,561210.0,suspicious
579969.91,65.45,5,15,0,11,4,2,0,4,0,0.2075,0.2184,0.5096,3,28,0,,,,0.1925,65.0,599950.0,fake
416495.66,57.28,0,15,0,1,0,1,0,4,0,0.7993,0.0396,0.1078,0,16,1,,,,0.1925,65.0,599950.0,genuine
394578.63,74.9,2,7,0,0,0,0,0,4,0,0.8025,0.1132,0.1157,0,22,1,International Students Diversity Contest 2022-2023,United Kingdom,"Master, Bachelor, Phd, Course",0.4305,71.19,538070.0,genuine
317799.76,83.89,0,20,0,1,1,0,0,4,0,0.8214,0.0,0.0878,0,24,1,International Scholarships at Lake Region State College,United States of America,"Bachelor, Master",0.3227,68.39,566085.0,genuine
340250.97,73.2,1,20,0,1,0,0,0,3,1,1.0,0.0746,0.0917,1,16,1,Richard and Susan Hayden Academy Fellowship for Worldwide Students in UK,United Kingdom,Phd,0.4308,71.2,537998.82,genuine
346287.34,64.89,1,18,0,1,1,0,0,4,0,1.0,0.0616,0.1484,0,21,1,Desmond Tutu’s Masters Scholarships for Africans,United Kingdom,,0.1925,65.0,599950.0,fake
339268.02,82.4,0,20,0,1,0,0,1,4,0,1.0,0.052,0.0724,0,16,1,Be an exchange student for 1-2 semesters,Canada,Not Funded,0.165,64.29,607100.0,genuine
254343.77,75.64,3,14,0,1,0,0,0,4,0,0.898,0.1072,0.1616,0,19,1,Merit-Based Scholarships for International Students at St. Francis College,United States of America,Bachelor,0.2366,66.15,588477.5,genuine
708942.13,51.81,3,15,1,6,1,0,2,4,0,0.6762,0.1959,0.2697,2,25,0,Becas Grisart 2022,Europe,Course,0.11,62.86,621400.0,suspicious
317798.67,77.28,0,8,0,0,0,0,0,4,0,0.9651,0.1075,0.1131,0,22,1,John Dillon Fellowship - Australian Centre for International Agricultural Research (ACIAR),Canada,Phd,0.429,71.15,538460.0,genuine
786002.45,70.81,1,11,1,6,3,0,1,4,0,0.7918,0.1241,0.1521,2,27,1,EU Transition Bursary at University of Derby,United Kingdom,"Bachelor, Master",0.3224,68.38,566182.5,suspicious
435667.39,50.52,3,10,1,7,1,2,0,4,0,0.4581,0.0649,0.166,3,24,0,College of Lake County International Student Scholarships in USA,United States of America,Bachelor,0.2318,66.03,589745.0,fake
516318.45,75.14,1,14,1,0,0,0,0,4,0,0.8896,0.0797,0.1753,0,21,1,TransAtlantic Masters - Scholarships,United States of America,Master,0.319,68.29,567060.0,fake
191968.04,70.88,2,0,0,3,0,0,2,4,0,0.95,0.3039,0.4603,1,19,1,Erasmus Mundus European Master in Global Studies,United Kingdom,Master,0.319,68.29,567060.0,genuine
561514.81,60.21,3,8,0,4,0,0,0,3,1,0.489,0.2534,0.2534,3,17,0,,,,0.1925,65.0,599950.0,suspicious
261206.24,65.13,0,22,0,1,0,0,0,4,0,0.9356,0.1023,0.1816,1,22,1,University of Liverpool Management School European Union Excellence Scholarships,United Kingdom,Master,0.3227,68.39,566085.0,suspicious
383142.6,89.46,0,18,0,0,0,0,0,4,0,0.8029,0.0458,0.1831,0,19,1,Google Anita Borg Memorial Scholarships for International Students at Arizona State University,United States of America,Bachelor,0.2385,66.2,587990.0,genuine
493304.64,76.26,3,9,0,3,0,1,1,4,0,0.7817,0.2693,0.3378,0,22,1,Nottingham Trent University Science Scholarships for Non-EU Students,United Kingdom,,0.1925,65.0,599950.0,genuine
345669.15,62.4,0,15,1,0,0,0,0,4,0,0.6997,0.0716,0.1872,0,21,1,4WARD Graduation Scholarships for International Students,United States of America,Bachelor,0.2348,66.1,588965.0,genuine
179923.43,72.31,2,14,0,0,0,0,0,4,0,0.7976,0.0739,0.1158,0,18,1,Global No-Essay Contest Scholarships for International Students 2022-2023,United States of America,"Master, Bachelor, Course",0.3205,68.33,566670.0,genuine
329996.73,73.59,0,7,1,3,0,0,2,4,0,0.7461,0.0527,0.0647,1,22,0,Durham Doctoral Studentships,United Kingdom,Phd,0.429,71.15,538460.0,genuine
511856.25,65.88,3,18,1,9,2,2,2,1,3,0.5662,0.2435,0.2664,2,20,1,WCC scholarships programme (World Council of Churches),Canada,"Bachelor, Master, Phd",0.429,71.15,538460.0,fake
802858.48,67.67,3,22,1,3,0,0,0,3,1,0.6451,0.1035,0.2651,2,21,0,Tiffin University International Trustee Scholarships in USA,United States of America,Bachelor,0.243,66.32,586820.0,suspicious
438318.43,68.45,3,4,1,9,0,2,3,4,0,0.3776,0.0624,0.1721,3,23,0,Sports Science: Fully Funded PhD at Swansea: The effect of mineral rich Algae,United Kingdom,Phd,0.429,71.15,538460.0,fake
431950.62,73.97,2,11,1,5,2,0,2,4,0,0.5261,0.1733,0.3258,1,24,0,The Humane Studies Fellowship - Institute for Humane Studies at George Mason University,United Kingdom,Phd,0.429,71.15,538460.0,suspicious
326129.06,69.34,0,17,0,1,0,0,1,4,0,0.9496,0.1398,0.1888,0,24,1,University of Leeds Faculty of Engineering and Physical Sciences International Undergraduate Excellence Scholarships in UK,United Kingdom,Bachelor,0.2355,66.12,588770.0,genuine
454056.88,74.99,1,2,1,6,2,0,3,4,0,0.5404,0.2782,0.2827,1,19,1,Strathclyde Business School MRes Scholarships in UK,United Kingdom,Master,0.319,68.29,567060.0,suspicious
268494.87,65.71,0,10,0,1,0,0,1,4,0,0.9977,0.0745,0.095,0,24,1,Transform Together Scholarships for International and European Union (non-UK) Students,United Kingdom,,0.1925,65.0,599950.0,genuine
335651.42,59.85,1,20,0,3,1,0,2,4,0,0.9118,0.0107,0.0874,0,25,1,Global No-Essay Contest Scholarships for International Students 2022-2023,Europe,"Master, Bachelor, Course",0.3205,68.33,566670.0,genuine
495117.32,53.75,0,6,1,3,1,0,1,3,1,0.3252,0.0529,0.0982,1,21,0,Mehran Bibi Sheikh Memorial Entrance Scholarships for International Students at Queen’s University,Canada,Bachelor,0.2321,66.04,589647.5,suspicious
60797.85,51.64,0,11,0,0,0,0,0,4,0,0.8454,0.0355,0.1422,0,20,0,Project Management - Free Course From Windsor University's MBA,United Kingdom,Course,0.1175,63.05,619450.0,genuine
593810.95,70.72,4,16,1,6,1,1,2,3,1,0.3306,0.0189,0.0189,1,27,0,Spirit of Giving Scholarship,United States of America,"Bachelor, Course",0.2333,66.06,589355.0,genuine
636120.78,66.06,2,9,0,8,3,2,1,1,3,0.537,0.029,0.2354,2,21,1,,,,0.1925,65.0,599950.0,suspicious
650965.68,79.5,0,16,0,7,1,2,1,1,3,0.8995,0.1026,0.1841,3,26,0,TKS Full-Ride Scholarship,United States of America,Course,0.56,74.56,504400.0,suspicious
396947.59,75.79,1,10,1,0,0,0,0,4,0,0.922,0.0561,0.1021,0,26,1,International Merit-Based Scholarships at Valparaiso University,United States of America,Bachelor,0.231,66.01,589940.0,genuine
112730.43,76.17,0,15,0,0,0,0,0,4,0,0.8933,0.0493,0.0493,0,23,1,Prodigy Finance – International Student Loans,United Kingdom,,0.1925,65.0,599950.0,genuine
453855.53,81.66,2,15,1,1,0,0,1,3,1,0.761,0.0437,0.1711,0,19,1,,,,0.1925,65.0,599950.0,genuine
188164.96,84.95,0,17,0,0,0,0,0,4,0,0.9694,0.044,0.0734,0,19,1,Need-Based Grants for International Students in the United States,United States of America,Bachelor,0.2385,66.2,587990.0,genuine
297947.55,66.85,0,16,0,0,0,0,0,4,0,0.7784,0.1487,0.2184,0,22,1,ROTARY GLOBAL GRANTS,Pakistan,"Master, Phd",0.429,71.15,538460.0,genuine
256073.59,71.85,0,20,0,0,0,0,0,4,0,1.0,0.0645,0.08,0,26,1,Master in Business Administration 80% OFF your Tuition fee,Pakistan,Master,0.325,68.45,565500.0,genuine
551695.85,72.86,0,22,1,2,0,1,1,4,0,0.9314,0.1231,0.1667,0,22,1,VCU Out-of-State Scholarships in the USA,United States of America,Bachelor,0.2366,66.15,588477.5,genuine
795442.4,74.19,1,14,1,9,2,2,2,3,1,0.1758,0.4044,0.4426,3,17,1,Axol Science Scholarship for Graduate or Undergraduate Degree Programs,Pakistan,"Bachelor, Master, Phd",0.429,71.15,538460.0,fake
131398.06,82.17,0,9,0,1,0,1,0,3,1,1.0,0.0,0.0353,0,24,1,,,,0.1925,65.0,599950.0,genuine
152319.02,83.92,0,12,0,1,0,0,0,4,0,0.7515,0.0596,0.1242,1,23,0,ROTARY GLOBAL GRANTS,Canada,"Master, Phd",0.429,71.15,538460.0,genuine
285574.71,70.93,0,16,0,3,1,0,2,4,0,1.0,0.073,0.1313,0,24,1,Oxford Leo Tong Chen Scholarships for International Students in the UK,United Kingdom,Master,0.3302,68.59,564135.0,genuine
60172.69,75.16,0,8,0,1,0,0,0,2,2,0.9537,0.0,0.0321,1,21,1,ArtUniverse,Canada,"Master, Course",0.319,68.29,567060.0,genuine
244397.65,82.69,2,16,0,5,0,1,3,1,3,0.6871,0.1129,0.1129,1,16,1,,,,0.1925,65.0,599950.0,suspicious
434466.82,83.35,1,9,1,1,0,0,1,4,0,0.8985,0.1766,0.2441,0,19,1,,,,0.1925,65.0,599950.0,genuine
650323.09,70.81,0,18,0,6,1,1,1,3,1,0.3413,0.2933,0.3239,3,19,0,International Merit Awards at Culinary Institute of America,United States of America,Course,0.11,62.86,621400.0,suspicious
453553.58,65.27,2,6,0,8,3,0,2,2,2,0.5415,0.0854,0.2181,3,17,0,"Eldred-Waverley Scholarship at Linacre College, Oxford",United Kingdom,,0.1925,65.0,599950.0,fake
343005.05,73.81,1,18,0,0,0,0,0,3,1,1.0,0.0,0.0137,0,18,1,Project Management - Free Course From Windsor University's MBA,United Kingdom,Course,0.1175,63.05,619450.0,genuine
395711.01,64.61,0,14,0,5,2,1,0,4,0,0.549,0.3387,0.4111,2,26,1,President’s Scholarship for Ukraine,United States of America,"Master, Bachelor, Phd, Course",0.4309,71.2,537972.5,suspicious
126160.87,65.29,0,19,1,1,1,0,0,4,0,0.8353,0.0676,0.1758,0,16,0,Engineering: Fully Funded PhD at Swansea: Capture and reduction of carbon emissions,United Kingdom,Phd,0.429,71.15,538460.0,genuine
395340.8,75.85,1,14,0,0,0,0,0,4,0,0.8497,0.1167,0.1317,0,18,1,Global Leader Scholarships in the USA,United States of America,Bachelor,0.239,66.21,587862.08,fake
400470.22,52.26,0,13,0,0,0,0,0,4,0,0.9395,0.1176,0.1713,0,18,1,,,,0.1925,65.0,599950.0,genuine
489046.8,62.32,2,16,1,6,1,0,3,3,1,0.795,0.2236,0.2945,2,17,0,Merit funding for International Students at University of Central Lancashire,United Kingdom,"Bachelor, Master",0.3205,68.33,566670.0,suspicious
328058.86,59.55,1,12,1,2,0,0,0,4,0,1.0,0.0333,0.1277,2,21,1,YFU (Youth for Undestanding) - Youth Exchange,United Kingdom,Not Funded,0.165,64.29,607100.0,genuine
226042.87,68.22,0,14,0,1,0,0,1,4,0,0.9034,0.0669,0.1645,0,22,1,Catherine T. McNamee International Student Scholarships in USA,United States of America,Bachelor,0.2535,66.59,584090.0,genuine
436580.94,90.29,1,21,0,0,0,0,0,4,0,0.8256,0.0,0.0,0,19,1,The Humane Studies Fellowship - Institute for Humane Studies at George Mason University,United States of America,Phd,0.429,71.15,538460.0,genuine
554273.82,90.57,3,14,0,1,0,0,0,2,2,0.8333,0.0557,0.068,0,16,1,Emerging Market Entrance Awards for International Students at Brock University,Canada,Bachelor,0.234,66.08,589160.0,genuine
381474.82,81.38,4,20,0,5,0,1,1,2,2,0.5093,0.1332,0.2308,2,21,1,"ChameleonJohn Annual $3,000 Scholarship for US Studies",United States of America,"Bachelor, Master, Phd",0.429,71.15,538460.0,suspicious
168370.57,68.8,1,13,0,0,0,0,0,3,1,0.8806,0.1108,0.1894,0,18,1,Hayek Fund for Scholars - Institute for Humane Studies at George Mason University,Canada,Phd,0.429,71.15,538460.0,genuine
89082.96,83.54,2,11,0,2,0,0,2,4,0,1.0,0.0417,0.1169,0,22,1,P.E.O. International Scholar Awards,Canada,Phd,0.444,71.54,534560.0,genuine
454579.52,55.5,3,18,0,3,0,0,2,4,0,0.6771,0.0671,0.0717,0,20,1,,,,0.1925,65.0,599950.0,genuine
598553.46,63.32,5,13,1,6,1,0,0,4,0,0.357,0.2175,0.2175,3,18,0,Master in Business Administration 80% OFF your Tuition fee - Scholarship,United Kingdom,Master,0.325,68.45,565500.0,suspicious
448859.74,69.98,0,18,0,1,0,0,0,4,0,0.9849,0.024,0.097,1,17,1,Bristol MBA International Scholarship,United Kingdom,,0.1925,65.0,599950.0,genuine
237780.59,76.53,0,9,0,0,0,0,0,4,0,0.778,0.058,0.1373,0,20,0,London Met University - Funding your studies,United Kingdom,"Master, Bachelor, Phd",0.429,71.15,538460.0,genuine
50000.0,83.72,0,10,0,2,1,1,0,4,0,0.6938,0.0778,0.1059,0,22,1,Silver Anniversary Recruitment Graduate International Fellowships in Canada,Canada,Phd,0.444,71.54,534560.0,genuine
229868.03,96.18,1,16,1,10,3,2,2,1,3,0.2722,0.1725,0.3532,3,29,0,ArtUniverse Scholarships,Pakistan,"Bachelor, Master, Phd",0.429,71.15,538460.0,fake
647502.55,96.13,4,6,0,9,3,1,2,4,0,0.1807,0.02,0.04,2,26,0,,,,0.1925,65.0,599950.0,fake
623164.5,67.69,3,17,0,9,2,0,3,3,1,0.95,0.1926,0.3535,3,27,0,Axol Science Scholarship for Graduate or Undergraduate Degree Programs,United States of America,"Bachelor, Master, Phd",0.429,71.15,538460.0,suspicious
434284.04,73.54,0,16,0,1,0,1,0,3,1,0.7937,0.0766,0.2293,0,23,1,Assisi Academic Scholarships for International Students at Marian University,United States of America,Bachelor,0.237,66.16,588380.0,fake
476089.57,98.31,8,21,1,11,3,1,2,0,4,0.3745,0.1979,0.2261,2,33,0,Hayek Fund for Scholars - Institute for Humane Studies at George Mason University,United States of America,Phd,0.429,71.15,538460.0,fake
616879.69,76.24,3,17,0,8,2,0,3,3,1,0.4633,0.1692,0.188,2,21,0,Marine Stewardship Council scholarship research program ,Europe,"Bachelor, Master, Phd, Course",0.432,71.23,537680.0,suspicious
326700.48,79.2,0,16,0,7,1,1,1,2,2,0.3943,0.0549,0.2464,4,20,0,Amelia Earhart Fellowship,United States of America,Phd,0.429,71.15,538460.0,suspicious
241890.59,61.32,0,21,0,3,0,0,1,4,0,0.8377,0.0999,0.1359,2,19,1,Erasmus Exchange Programme,United States of America,Fully Funded,0.165,64.29,607100.0,genuine
541304.67,60.88,0,7,0,0,0,0,0,4,0,0.8969,0.1267,0.1498,0,21,1,Anniversary Scholarships at London School of Economics and Political Science,United Kingdom,Master,0.3377,68.78,562185.0,genuine
404461.7,73.77,0,9,0,3,0,1,1,4,0,0.7842,0.0885,0.0918,1,28,1,IPRA Foundation Peace Research Grants Program,Pakistan,Phd,0.429,71.15,538460.0,genuine
319316.44,100.0,8,0,1,12,3,3,1,3,1,0.468,0.2401,0.4021,2,24,0,Swansea University International Excellence Scholarships,United Kingdom,,0.1925,65.0,599950.0,fake
472599.15,76.92,0,14,0,0,0,0,0,4,0,0.8225,0.0515,0.12,0,17,0,TKS Full-Ride Scholarship,Europe,Course,0.56,74.56,504400.0,genuine
252575.53,77.94,0,19,0,1,0,0,0,4,0,1.0,0.0641,0.1399,1,20,1,Wessex Institute of Technology - Research Studies,United Kingdom,Phd,0.429,71.15,538460.0,genuine
312271.64,70.48,1,7,0,1,0,0,1,4,0,0.9399,0.1272,0.2852,0,19,1,The Annual IELTS from 6 to 9 Scholarship,Pakistan,"Master, Bachelor, Phd",0.4298,71.17,538265.0,genuine
496114.16,61.9,1,2,1,1,0,0,1,1,3,0.2236,0.061,0.2055,0,19,1,Scholarship for Online Learner at IU International University of Applied Sciences – Online,United Kingdom,"Master, Bachelor",0.319,68.29,567057.46,suspicious
285208.58,78.61,0,15,0,1,0,0,1,4,0,0.7719,0.1076,0.1076,0,20,0,,,,0.1925,65.0,599950.0,genuine
714039.4,69.66,3,4,0,10,2,3,3,0,4,0.215,0.041,0.2167,1,23,0,GREAT Scholarships for International Students at University of York,United Kingdom,Master,0.3265,68.49,565110.0,fake
562243.44,77.53,1,0,1,6,2,2,0,4,0,0.7195,0.2402,0.4501,2,28,1,Chancellors International Business School Scholarships at University of Sussex,United Kingdom,Bachelor,0.2348,66.1,588965.0,fake
270191.32,71.34,4,11,0,5,0,0,2,4,0,0.6342,0.2782,0.5091,2,22,0,International No-Essay Support Competition Scholarships 2022-2023,Canada,"Master, Bachelor, Course",0.3205,68.33,566670.0,suspicious
432244.11,67.91,0,13,1,0,0,0,0,4,0,0.8233,0.0953,0.1765,0,21,1,Online Islamic classes for kids,Canada,Course,0.113,62.94,620620.0,genuine
258157.07,77.33,2,22,0,6,1,0,1,2,2,0.1798,0.1282,0.2876,4,25,0,Five scholarships of up to US$3000 for supply chain courses,United States of America,"Master, Bachelor, Phd, Course",0.4313,71.21,537875.0,suspicious
448054.78,63.36,4,5,1,9,2,1,3,4,0,0.3968,0.017,0.1168,2,22,0,University of Hertfordshire - Scholarships for international students,United Kingdom,"Master, Phd",0.429,71.15,538460.0,fake
691639.04,46.22,0,13,1,2,0,0,1,3,1,0.6581,0.01,0.0889,1,23,0,,,,0.1925,65.0,599950.0,genuine
666108.64,64.71,1,17,0,0,0,0,0,4,0,1.0,0.0997,0.1484,0,22,1,Desmond Tutu’s Masters Scholarships for Africans,United Kingdom,,0.1925,65.0,599950.0,genuine
255369.03,66.99,0,16,0,3,0,0,1,4,0,0.8708,0.093,0.1451,2,20,0,Westminster Full Fee Scholarships for International Students,United Kingdom,,0.1925,65.0,599950.0,genuine
261756.5,57.5,0,19,0,0,0,0,0,4,0,0.7581,0.0721,0.1167,0,23,1,KDS Competition Scholarship 2021,United States of America,"Master, Bachelor",0.3201,68.32,566767.5,genuine
467933.27,87.33,3,16,0,4,0,0,1,4,0,0.8797,0.0923,0.1318,2,19,1,Adobe Research Women-in-Technology Scholarship,Pakistan,Bachelor,0.231,66.01,589940.0,genuine
539408.36,66.22,0,12,0,0,0,0,0,4,0,0.9902,0.1162,0.1174,0,17,1,Master in Business Administration 80% OFF your Tuition fee - Scholarship,United States of America,Master,0.325,68.45,565500.0,genuine
469117.54,84.04,0,18,0,1,0,1,0,4,0,0.697,0.0639,0.1055,0,16,0,UEA Turkish Awards in the UK,United Kingdom,Master,0.3227,68.39,566085.0,genuine
357701.37,75.11,1,11,0,3,0,0,2,4,0,0.8724,0.0601,0.1333,1,21,1,Global Contest Scholarships for International Students 2022,United States of America,"Master, Bachelor, Course",0.3205,68.33,566670.0,genuine
294492.56,69.03,5,12,1,7,1,1,1,4,0,0.3038,0.1095,0.1095,2,21,0,,,,0.1925,65.0,599950.0,fake
403796.52,73.23,0,22,0,1,0,0,0,4,0,0.8682,0.2232,0.2232,1,22,1,International Contest for Students Support 2022-2023,United Kingdom,"Master, Bachelor, Course",0.3205,68.33,566670.0,genuine
858451.73,55.08,8,3,0,13,3,3,2,0,4,0.2546,0.0391,0.2731,2,21,0,INTO Progressors International Scholarships at Queen’s University Belfast,United Kingdom,"Phd, Master, Bachelor",0.4298,71.17,538265.0,fake
319059.3,69.94,5,5,1,8,2,1,2,4,0,0.3023,0.2111,0.2574,1,21,0,PhD Position in Fiber Devices for International Students,Canada,Phd,0.429,71.15,538460.0,fake
408349.97,76.83,0,13,1,3,0,1,1,4,0,0.948,0.0456,0.1286,1,21,1,International Entrance Scholarships at Memorial University of Newfoundland,Canada,Bachelor,0.2343,66.09,589082.0,genuine
795349.68,94.05,0,5,0,6,3,1,1,4,0,0.8583,0.0759,0.1235,1,18,1,University of Leeds MBA EEA Excellence Scholarships in UK,United Kingdom,Master,0.319,68.29,567060.0,suspicious
384324.05,93.81,0,21,0,0,0,0,0,4,0,0.9161,0.0651,0.0651,0,21,0,Amelia Earhart Fellowship,Europe,Phd,0.429,71.15,538460.0,genuine
609083.47,97.89,4,21,1,10,2,3,0,2,2,0.6392,0.5587,0.6447,4,22,0,IU International University of Applied Sciences Online Scholarships for International Students in Germany,Europe,"Master, Bachelor",0.3254,68.46,565402.5,fake
486962.93,73.47,0,7,1,2,1,0,1,4,0,0.8754,0.1093,0.1514,0,19,1,BLACA Awards for International Students in UK,United Kingdom,Master,0.3257,68.47,565305.0,genuine
367260.84,65.74,3,2,1,3,1,0,0,4,0,0.7877,0.2416,0.4131,1,16,1,International Scholarship Program (Firdaws Academy),United Kingdom,Course,0.1175,63.05,619450.0,suspicious
230055.61,57.73,0,12,0,1,0,0,1,4,0,0.8544,0.053,0.1445,0,28,1,David Sainsbury Full MSc Scholarships for International Students in UK,United Kingdom,Master,0.3307,68.6,564016.24,genuine
328409.43,63.18,0,21,0,1,0,0,1,4,0,0.783,0.07,0.1582,0,16,0,,,,0.1925,65.0,599950.0,genuine
499847.93,77.16,1,20,0,0,0,0,0,4,0,0.9925,0.0609,0.1179,0,23,0,International No-Essay Support Competition Scholarships 2022-2023,Canada,"Master, Bachelor, Course",0.3205,68.33,566670.0,genuine
602000.03,99.93,4,17,0,10,3,0,2,4,0,0.4341,0.1661,0.2754,4,15,0,Saraswati Dalmia Scholarship at SOAS University of London,United Kingdom,"Phd, Master",0.433,71.26,537416.17,fake
475734.62,72.92,2,18,1,7,3,0,1,4,0,0.6929,0.1989,0.3408,3,21,1,Human Resource (HR) - Free Course From Windsor University's MBA,United States of America,"Master, Course",0.3265,68.49,565110.0,suspicious
209309.56,63.67,0,21,0,2,0,0,0,2,2,0.8444,0.0,0.0921,2,16,1,,,,0.1925,65.0,599950.0,genuine
322767.34,59.38,0,9,0,0,0,0,0,4,0,0.9144,0.03,0.03,0,20,1,UWE Millennium Development Scholarship for International Students,United Kingdom,,0.1925,65.0,599950.0,genuine
